char,division
的,白勹丶
一,一
是,日一
在,丨土
不,不
了,了
有,月
和,禾口
人,人
這,言辶
中,口丨
大,大
為,丶
上,上
個,囗古
國,囗戈口一
我,丿戈
以,丶人
要,西女
地,土也
他,也
時,日士寸
來,來
用,用
們,門
生,生
到,至
作,
出,屮凵
就,小尤
分,八刀
於,方人⺀
對,业寸
成,戊
會,人一日
可,丁口
主,丶王
發,癶弓殳
年,
動,千里力
同,冂一口
工,工
也,也
能,厶月匕匕
下,下
過,咼辶
子,子
說,言八口儿
產,文厂生
種,禾千里
行,彳亍
而,而
方,方
面,面
後,彳幺夊
多,夕夕
定,宀一
學,乂乂子
法,土厶
所,戶斤
民,
得,彳日一寸
經,一巛工
十,十
三,三
之,之
進,隹辶
等,竹士寸
部,立口
度,广艹一又
家,宀豕
電,雨电
力,力
如,女口
水,水
化,匕
高,高
都,耂日
自,自
二,二
理,王里
起,走巳
小,小
長,長
物,牛勹
現,王見
實,宀十貝
加,力口
量,日一里
兩,一巾入入
體,骨曲一
機,木幺幺人
還,罒一口辶
當,尚田
使,一口乂
點,黑口
從,彳人人
業,业羊八
本,木一
重,千里
去,土厶
把,巴
性,生
好,女子
應,广隹心
開,門一廾
它,宀匕
合,合
因,囗大
制,牛冂
由,由
其,其
些,止匕二
然,犬灬
前,月
外,夕卜
天,一大
政,正攵
四,囗儿
日,日
那,
社,土
義,丿戈
事,口彐
平,干丷
形,一廾彡
相,木目
全,入王
裏,亠里
間,門日
樣,木丶水
表,
與,丿八
關,門幺幺丱
各,夊口
新,立朩斤
線,白水
內,冂入
數,口十口攵
正,正
心,心
反,厂又
你,小
明,日月
看,目
原,厂白小
又,又
麼,麻幺
利,禾
比,匕匕
或,戈口一
但,日一
質,斤斤貝
氣,气米
第,竹弓丨丿
向,向
道,自辶
命,人一口卩
此,止匕
沒,勹又
變,言攵
條,丨夊朩
只,口八
結,士口
解,土牛
問,門口
意,立日心
建,彐廴
月,月
公,八厶
無,卌一灬
軍,冖車
很,彳艮
情,月
者,耂日
最,冂二耳又
立,立
代,弋
想,木目心
已,已
通,用辶
提,日一
直,十
題,日一頁
黨,尚黑
程,禾口壬
展,尸艹
五,一
果,日木
料,米⺀十
象,
員,口貝
革,革
位,立
入,入
常,尚巾
文,文
總,心
次,二欠
品,口口口
式,弋工
活,舌
設,言殳
及,丿又
管,竹宀尸
特,牛士寸
件,牛
求,一氺丶
老,耂匕
頭,一口頁
基,其土
資,二欠貝
邊,自穴方辶
流,七丶
路,足夊口
級,丿又
少,小丿
圖,囗口亠口
山,山
統,七丶儿
接,立女
知,矢口
較,車亠八乂
將,爿寸
組,且
見,見
計,言十
別,口勹
她,女也
手,手
角,土
期,其月
根,木艮
論,言人一
運,冖車辶
農,曲辰
指,匕日
幾,幺幺戈人
九,九
區,匚口口口
強,弓厶虫
放,方攵
決,人
西,西
被,皮
做,古攵
必,心丿
戰,口口日戈
先,儿
則,貝
任,壬
取,耳又
據,虍豕
回,囗口
給,合
調,言土口
處,虍夊几
隊,
南,十冂
色,巴
光,⺌兀
門,門
即,卩
保,口木
治,厶口
北,丬匕
造,口辶
百,丆日
規,夫見
熱,土儿土灬
領,人一頁
七,七
海,母
口,口
東,木日
導,自辶寸
器,口口犬口
壓,厂日月土
世,世
金,金
增,土丷日
爭,爪彐亅
濟,亠丷二
階,匕匕白
油,由
思,田心
術,彳木丶亍
極,木丂口一
交,亠八乂
受,爪冖又
幹,十早人干
聯,耳幺幺丱
認,言刀丶心
六,亠八
共,八
權,木艹口隹
收,丩攵
證,言癶一
改,己攵
清,月
志,士心
己,己
美,大
再,一冂土
轉,車寸
更,一日乂
單,口口日十
風,風
切,七刀
打,丁
白,白
教,耂子攵
速,木口辶
花,艹匕
帶,卌一冖巾
安,宀女
場,土日一
身,身
車,車
例,一夕
真,十八
務,予丿夊力
具,八
萬,艹禺
每,母
目,目
至,至
達,土羊辶
走,走
積,禾貝
示,示
議,言丿戈
聲,士殳耳
報,土卩又
鬥,鬥
完,宀一兀
類,米犬頁
八,八
離,文凵冂隹
華,艹一艹
名,夕口
確,石冖隹
科,禾⺀十
傳,寸
張,弓長
才,丿
信,言
馬,馬
節,竹卩
話,言舌
米,米
採,爪木
整,木口攵正
空,穴工
元,一兀
況,口儿
今,人一
集,隹木
溫,囗人皿
土,土
許,言十
步,止
群,彐丿口羊
石,石
廣,广艹二八
且,且
記,言己
需,雨而
段,三殳
研,石一廾
界,田人
拉,立
林,木木
律,彳彐
叫,口丩
究,穴九
觀,艹口口見
越,走戈
織,立戈日
裝,爿士亠
影,日小彡
算,竹目廾
低,七一
持,士寸
音,立日
眾,罒人人
系,丿糸
書,彐土日
容,穴人口
兒,臼儿
際,示
商,亠丷冂口
非,非
驗,馬僉
連,車辶
斷,幺幺一斤
率,亠幺十
深,冖儿木
難,艹一口隹
近,斤辶
須,彡頁
礦,石广艹八
千,千
省,小丿目
委,禾女
素,糸
技,十又
備,丿用
半,丷
辦,辛力辛
青,月
列,一夕
習,习习白
便,一日乂
響,丿丶日
約,勹丶
支,十又
般,舟殳
史,口乂
感,戊一口心
勞,火火冖力
團,囗寸
往,彳丶王
酸,酉厶儿夊
稱,禾爪冂土
市,亠巾
克,古儿
何,丁口
除,人一朩
消,⺌月
構,木冂土
府,广寸
甚,其乚
太,大丶
精,米月
歷,厂禾禾止
值,十
係,丿糸
周,土口
什,十
號,口丂虎
族,方矢
維,隹
劃,彐土田
選,巳巳辶
標,木西示
寫,宀臼勹灬
存,丨子
候,丨矢
親,立朩見
毛,毛
快,人
查,木日一
效,亠八乂攵
斯,其斤
院,宀一兀
江,工
型,一廾土
眼,目艮
王,王
按,宀女
格,木夊口
養,八一艮
易,日勹
置,罒十
派,
層,尸丷日
片,片
始,女厶口
卻,八人口卩
專,寸
狀,爿犬
育,七丶月
廠,广尚攵
京,小
識,言立戈日
適,亠丷冂辶
參,厶厶厶彡
屬,尸氺罒虫
圓,囗口貝
包,勹巳
火,火
住,丶王
滿,艹一入
縣,小丿糸
局,尸口
照,日刀口灬
準,隹十
紅,工
輕,車一巛工
引,弓丨
細,田
聽,耳壬十心
該,言亥
鐵,金十戈壬
價,西貝
嚴,口口厂攵
底,广七一
首,自
液,亠乀
